line_id,seq,highway,lng,lat
30886633,0,motorway,123.5619611,41.8593631
30886633,1,motorway,123.5618356,41.8585646
30886635,0,motorway,123.5618356,41.8585646
30886635,1,motorway,123.5616825,41.85757
30886635,2,motorway,123.561565,41.8565701
30886635,3,motorway,123.5615553,41.8559747
30886635,4,motorway,123.5615792,41.8551771
30886635,5,motorway,123.5616331,41.8546311
30886635,6,motorway,123.5617804,41.8539314
30886635,7,motorway,123.5621188,41.8528833
30886635,8,motorway,123.563233,41.8502363
30886635,9,motorway,123.5648164,41.846604
30886712,0,trunk,123.4072353,41.8575881
30886712,1,trunk,123.4056951,41.8575341
30886712,2,trunk,123.4055606,41.8575284
30886712,3,trunk,123.4047255,41.8574844
30886712,4,trunk,123.4037735,41.8574344
30890807,0,trunk,123.4559225,41.7194056
30890807,1,trunk,123.4557237,41.7197039
30890807,2,trunk,123.4557113,41.7197167
30890807,3,trunk,123.4543093,41.7211648
30890807,4,trunk,123.4540735,41.7215245
30890807,5,trunk,123.4538369,41.7218303
30890807,6,trunk,123.452778,41.7233261
30890807,7,trunk,123.4525329,41.7236874
30890807,8,trunk,123.4524591,41.7237962
30890846,0,trunk,123.4360822,41.7489372
30890846,1,trunk,123.4358656,41.7491114
30890846,2,trunk,123.4355628,41.7493549
30890846,3,trunk,123.4350788,41.7497655
30890846,4,trunk,123.4334402,41.7510254
30890846,5,trunk,123.4330676,41.7513803
30900259,0,motorway,123.2857727,41.8411931
30900259,1,motorway,123.2869216,41.8423932
30900259,2,motorway,123.287644,41.8430497
32871625,0,trunk,123.5036463,41.6430541
32871625,1,trunk,123.5041178,41.6433508
32871625,2,trunk,123.504254,41.643439
32871625,3,trunk,123.505145,41.6439967
32871625,4,trunk,123.5069975,41.6451921
32871625,5,trunk,123.5085168,41.6461598
32871625,6,trunk,123.509411,41.6466806
32871625,7,trunk,123.5115076,41.6478563
32871625,8,trunk,123.5131321,41.6487073
32871625,9,trunk,123.5151009,41.6497139
32871625,10,trunk,123.5154825,41.6498895
32871625,11,trunk,123.5168452,41.6504874
32871625,12,trunk,123.5179399,41.6509326
32871625,13,trunk,123.5187024,41.6512271
32871625,14,trunk,123.5198381,41.6516776
32871625,15,trunk,123.5228544,41.6528928
32871625,16,trunk,123.5232663,41.6530529
32871627,0,trunk,123.5236587,41.6531881
32871627,1,trunk,123.5255697,41.6537327
32871627,2,trunk,123.5260485,41.6539406
32871704,0,primary,123.3647392,41.8175444
32871704,1,primary,123.3637562,41.8162146
32871717,0,trunk,123.3763678,41.7223893
32871717,1,trunk,123.3778699,41.7222348
32871717,2,trunk,123.3801025,41.7218933
32871717,3,trunk,123.3808486,41.7217889
32871717,4,trunk,123.3822091,41.7215984
32871717,5,trunk,123.3833856,41.7214529
32871717,6,trunk,123.3836223,41.7214243
32871834,0,primary,123.2843147,41.7568243
32871834,1,primary,123.2841598,41.7571679
32871834,2,primary,123.2838335,41.7575112
32871834,3,primary,123.2830288,41.7580155
32871834,4,primary,123.2816341,41.7586237
32871834,5,primary,123.2814088,41.7587518
32871834,6,primary,123.2812157,41.7589598
32871834,7,primary,123.2810333,41.759272
32871834,8,primary,123.2797559,41.7630793
32871834,9,primary,123.2789826,41.7650696
32871834,10,primary,123.2789003,41.7652553
32871834,11,primary,123.2783809,41.7667988
32871834,12,primary,123.2775728,41.768936
32871834,13,primary,123.2770811,41.7699001
32871834,14,primary,123.2764521,41.7710916
32871834,15,primary,123.2744887,41.7748362
32871834,16,primary,123.2743283,41.7752091
32871834,17,primary,123.2743707,41.7755804
32871834,18,primary,123.2745767,41.7797893
32871834,19,primary,123.2745686,41.7798939
32871840,0,primary,123.2400984,41.7626998
32871840,1,primary,123.2402782,41.7628414
32871840,2,primary,123.2403855,41.7629214
32871840,3,primary,123.2405411,41.7629614
32871840,4,primary,123.2510004,41.7628998
32871840,5,primary,123.256417,41.762929
32871840,6,primary,123.2630471,41.7629123
32871840,7,primary,123.2637524,41.762908
32871840,8,primary,123.2638587,41.7629073
32871840,9,primary,123.2645793,41.7629073
32871840,10,primary,123.2665504,41.7628593
32871840,11,primary,123.2670333,41.7628681
32871840,12,primary,123.2674915,41.7629136
32871840,13,primary,123.2683566,41.7630142
32871840,14,primary,123.2693768,41.7631725
32871840,15,primary,123.2715933,41.7635729
32871840,16,primary,123.2757892,41.764414
32871840,17,primary,123.2789826,41.7650696
32871851,0,primary,123.2442549,41.7412231
32871851,1,primary,123.2441849,41.7413199
32871851,2,primary,123.2418367,41.7445784
32871851,3,primary,123.2410311,41.7461225
32871851,4,primary,123.2407616,41.7466754
32871851,5,primary,123.2407438,41.746712
32871851,6,primary,123.2401138,41.7483999
32871851,7,primary,123.2395817,41.7507844
32871851,8,primary,123.2395811,41.7508521
32871851,9,primary,123.2395036,41.7598235
32871851,10,primary,123.2395061,41.7611759
32871851,11,primary,123.2395029,41.761462
32871851,12,primary,123.2395218,41.7620691
32871851,13,primary,123.2395701,41.7622052
32871851,14,primary,123.2396457,41.7623468
32871851,15,primary,123.2397721,41.7624673
32871851,16,primary,123.2398746,41.7625561
32871852,0,primary,123.2389632,41.7626216
32871852,1,primary,123.2390817,41.7625105
32871852,2,primary,123.2391946,41.7623852
32871852,3,primary,123.2392963,41.7622464
32871852,4,primary,123.2393663,41.7620851
32871852,5,primary,123.2393791,41.7614589
32871852,6,primary,123.2393841,41.761175
32871852,7,primary,123.2393782,41.7598233
32871852,8,primary,123.2394172,41.7508982
32871852,9,primary,123.2394174,41.7508422
32871852,10,primary,123.2399943,41.7483869
32871852,11,primary,123.2405869,41.7466799
32871852,12,primary,123.2408955,41.7460855
32871852,13,primary,123.2416841,41.7445246
32871852,14,primary,123.2440777,41.7412764
32871852,15,primary,123.244144,41.7411849
32871858,0,primary,123.2391693,41.7625252
32871858,1,primary,123.2394049,41.7624802
32871858,2,primary,123.2396477,41.7624908
32871858,3,primary,123.2398746,41.7625561
32871858,4,primary,123.2399956,41.7626201
32871858,5,primary,123.2400984,41.7626998
32871858,6,primary,123.2402129,41.7628466
32871858,7,primary,123.2402665,41.7630117
32871858,8,primary,123.2402547,41.7631813
32871858,9,primary,123.2401785,41.7633414
32871858,10,primary,123.2400441,41.7634785
32871858,11,primary,123.2399351,41.7635476
32871858,12,primary,123.2397109,41.7636294
32871858,13,primary,123.2394636,41.7636549
32871858,14,primary,123.239218,41.7636215
32871858,15,primary,123.2389987,41.7635326
32871858,16,primary,123.2388926,41.7634591
32871858,17,primary,123.2387576,41.7633026
32871858,18,primary,123.2386948,41.7631226
32871858,19,primary,123.2387105,41.7629369
32871858,20,primary,123.2388031,41.7627642
32871858,21,primary,123.2389632,41.7626216
32871858,22,primary,123.2391693,41.7625252
32872470,0,trunk,123.3020365,41.7784093
32872470,1,trunk,123.2997339,41.778786
32872470,2,trunk,123.2994285,41.7788167
32872470,3,trunk,123.2992772,41.7788319
32872470,4,trunk,123.2991158,41.7788481
32872644,0,primary,123.4325758,41.7519639
32872644,1,primary,123.431374,41.7535748
32872644,2,primary,123.4310094,41.7541127
32872644,3,primary,123.4293012,41.7565097
32872644,4,primary,123.4291584,41.7567067
32872644,5,primary,123.4290813,41.756811
32872644,6,primary,123.4289245,41.7571122
32872644,7,primary,123.4288736,41.7572728
32872644,8,primary,123.4288227,41.757446
32872644,9,primary,123.4287851,41.7576638
32872644,10,primary,123.4287663,41.7580992
32872644,11,primary,123.4287904,41.7585645
32872644,12,primary,123.4288253,41.7592598
32872644,13,primary,123.4289233,41.7612156
32872644,14,primary,123.429002,41.7628033
32872644,15,primary,123.4290733,41.764007
32872644,16,primary,123.4290886,41.7648883
32872645,0,trunk,123.4330676,41.7513803
32872645,1,trunk,123.432842,41.7516541
32872657,0,trunk,123.4412848,41.7447788
32872657,1,trunk,123.4411614,41.7448801
32872657,2,trunk,123.4387333,41.7468047
32872657,3,trunk,123.4371453,41.74809
32872657,4,trunk,123.4366696,41.748475
32872657,5,trunk,123.4360822,41.7489372
32872690,0,trunk,123.4221433,41.728891
32872690,1,trunk,123.4190907,41.7282204
32872690,2,trunk,123.4180481,41.7279898
32872690,3,trunk,123.4077354,41.7256993
32872690,4,trunk,123.4076535,41.7256811
32872690,5,trunk,123.4051063,41.7251153
32872749,0,trunk,123.516128,41.7473479
32872749,1,trunk,123.5169895,41.7478092
32872749,2,trunk,123.5192941,41.7492217
32872749,3,trunk,123.5193881,41.7492918
32872749,4,trunk,123.5249038,41.7534062
32872749,5,trunk,123.5250734,41.753533
32872749,6,trunk,123.5271887,41.7551148
32872749,7,trunk,123.5284206,41.7560599
32872749,8,trunk,123.5285415,41.75615
32872749,9,trunk,123.5286376,41.7562216
32872749,10,trunk,123.5315876,41.7584198
32872749,11,trunk,123.5345222,41.7606064
32872749,12,trunk,123.5345792,41.7606488
32872749,13,trunk,123.5361821,41.7618432
32872749,14,trunk,123.5380873,41.7632628
32872749,15,trunk,123.5382026,41.7633487
42607089,0,trunk,123.4614931,41.832664
42607089,1,trunk,123.4629082,41.8349196
42607089,2,trunk,123.4630285,41.8351196
42607089,3,trunk,123.4632014,41.835627
42607089,4,trunk,123.4633532,41.836685
42607089,5,trunk,123.4635198,41.8380295
42607089,6,trunk,123.4635927,41.8386903
42607089,7,trunk,123.464345,41.8412459
42607089,8,trunk,123.4647852,41.8426369
42607209,0,motorway,123.5476226,41.880441
42607209,1,motorway,123.5469464,41.880638
42607209,2,motorway,123.5463046,41.8807911
42609554,0,motorway,123.5486378,41.8800856
42609554,1,motorway,123.5476226,41.880441
42609591,0,motorway,123.5485875,41.8799251
42609591,1,motorway,123.5491128,41.8796958
42609591,2,motorway,123.5497997,41.8793772
42609591,3,motorway,123.5507366,41.878833
42609591,4,motorway,123.5514174,41.8783641
42609591,5,motorway,123.5524452,41.8774993
42609591,6,motorway,123.553653,41.8762919
42609591,7,motorway,123.5545333,41.8752929
42609591,8,motorway,123.5596805,41.8696111
42609591,9,motorway,123.5606485,41.8684578
42609591,10,motorway,123.5611377,41.8677749
42609591,11,motorway,123.5616197,41.8669624
42609591,12,motorway,123.5620201,41.8659974
42609591,13,motorway,123.5621736,41.8655526
42609591,14,motorway,123.5623181,41.8648718
42609591,15,motorway,123.5623973,41.864266
42609591,16,motorway,123.5624388,41.8630373
42609591,17,motorway,123.5623884,41.8621456
42609591,18,motorway,123.5622674,41.8612687
42644819,0,motorway,123.5334452,41.8827872
42644819,1,motorway,123.5305715,41.8832144
42644819,2,motorway,123.5287009,41.8835297
42644819,3,motorway,123.5272442,41.883862
42644819,4,motorway,123.5258562,41.8842449
42644819,5,motorway,123.524425,41.8847878
42644819,6,motorway,123.5228927,41.8854923
42644819,7,motorway,123.5216575,41.8862102
42644819,8,motorway,123.5202032,41.887209
42644819,9,motorway,123.5191097,41.8881279
42644819,10,motorway,123.5168295,41.8904134
42644819,11,motorway,123.51526,41.8918888
42644819,12,motorway,123.5140526,41.8929004
42644819,13,motorway,123.5129886,41.8936545
42644819,14,motorway,123.511464,41.8945951
42644819,15,motorway,123.5101532,41.8952843
42644819,16,motorway,123.5091568,41.8957397
42644819,17,motorway,123.5056418,41.897223
42644819,18,motorway,123.4963446,41.9009363
42644819,19,motorway,123.4941274,41.9018342
42644819,20,motorway,123.4930736,41.9022609
42644819,21,motorway,123.4909743,41.9031317
42644820,0,motorway,123.5433275,41.8813061
42644820,1,motorway,123.5420376,41.8814917
42644824,0,motorway,123.5475821,41.8802768
42644824,1,motorway,123.5485875,41.8799251
42644827,0,motorway,123.4073879,41.8924083
42644827,1,motorway,123.4087778,41.8929198
42644833,0,motorway,123.5417815,41.8813295
42644833,1,motorway,123.543246,41.8811178
42644834,0,motorway,123.543246,41.8811178
42644834,1,motorway,123.5453452,41.8808184
42644856,0,motorway,123.4836225,41.90604
42644856,1,motorway,123.4826728,41.9064503
42644857,0,motorway,123.4825684,41.9063565
42644857,1,motorway,123.4835906,41.9059413
42644899,0,motorway,123.490781,41.9030031
42644899,1,motorway,123.4929535,41.9021006
42644899,2,motorway,123.4962655,41.9007836
42644899,3,motorway,123.5022123,41.8984052
42644899,4,motorway,123.502591,41.8982491
42644899,5,motorway,123.5055329,41.8970388
